iter	Passed	Remaining
0	52	52718
1	54	27151
2	56	18673
3	57	14404
4	59	11857
5	61	10144
6	62	8931
7	64	8007
8	66	7281
9	67	6709
10	69	6246
11	71	5852
12	72	5519
13	74	5230
14	75	4981
15	77	4768
16	79	4582
17	81	4422
18	82	4269
19	84	4130
20	85	4001
21	87	3896
22	89	3792
23	90	3694
24	92	3606
25	94	3526
26	95	3451
27	97	3377
28	98	3311
29	100	3249
30	102	3219
31	105	3184
32	107	3147
33	109	3124
34	112	3092
35	113	3047
36	115	3008
37	117	2968
38	118	2927
39	120	2890
40	122	2855
41	123	2824
42	125	2790
43	126	2759
44	128	2729
45	130	2703
46	131	2673
47	133	2647
48	135	2621
49	136	2596
50	138	2568
51	139	2535
52	140	2503
53	141	2474
54	142	2448
55	143	2425
56	145	2400
57	146	2371
58	146	2342
59	147	2313
60	148	2284
61	149	2257
62	150	2232
63	151	2210
64	152	2195
65	153	2172
66	154	2147
67	154	2118
68	155	2095
69	156	2073
70	156	2052
71	157	2035
72	158	2015
73	159	1995
74	160	1978
75	161	1962
76	162	1949
77	163	1934
78	164	1914
79	164	1896
80	165	1877
81	166	1858
82	166	1840
83	167	1821
84	167	1802
85	167	1784
86	168	1766
87	168	1749
88	169	1733
89	169	1717
90	170	1701
91	170	1686
92	171	1671
93	171	1656
94	172	1644
95	173	1633
96	174	1620
97	174	1607
98	175	1594
99	175	1580
100	176	1567
101	176	1552
102	176	1540
103	177	1528
104	177	1516
105	178	1504
106	178	1493
107	179	1481
108	179	1470
109	180	1459
110	180	1449
111	181	1438
112	181	1428
113	182	1417
114	182	1408
115	183	1397
116	183	1387
117	184	1378
118	184	1368
119	185	1358
120	185	1349
121	186	1340
122	186	1330
123	187	1321
124	187	1312
125	188	1304
126	188	1296
127	188	1286
128	189	1279
129	189	1271
130	190	1263
131	190	1255
132	192	1252
133	192	1245
134	193	1238
135	193	1231
136	194	1224
137	194	1216
138	195	1209
139	195	1203
140	196	1196
141	196	1189
142	197	1183
143	197	1176
144	198	1170
145	199	1164
146	199	1157
147	200	1151
148	200	1145
149	201	1139
150	201	1133
151	202	1127
152	202	1121
153	203	1115
154	203	1109
155	204	1104
156	204	1098
157	205	1093
158	205	1087
159	206	1082
160	206	1077
161	207	1071
162	207	1066
163	208	1061
164	208	1056
165	209	1051
166	209	1046
167	210	1041
168	210	1036
169	211	1031
170	211	1026
171	212	1022
172	212	1017
173	213	1012
174	213	1008
175	214	1003
176	214	999
177	215	994
178	215	990
179	216	985
180	216	980
181	217	975
182	217	971
183	218	967
184	218	963
185	219	959
186	219	955
187	220	951
188	220	947
189	221	943
190	221	939
191	222	935
192	222	931
193	223	927
194	223	923
195	224	920
196	224	916
197	225	912
198	225	909
199	226	905
200	226	901
201	227	898
202	227	894
203	228	891
204	228	887
205	229	884
206	229	880
207	230	877
208	230	874
209	231	870
210	231	867
211	232	864
212	232	860
213	233	857
214	233	854
215	234	851
216	234	847
217	235	844
218	235	841
219	236	838
220	236	835
221	237	832
222	237	829
223	238	826
224	238	823
225	239	819
226	239	816
227	240	813
228	240	810
229	241	808
230	241	805
231	242	802
232	242	799
233	243	796
234	243	793
235	244	791
236	244	788
237	245	785
238	245	782
239	246	780
240	246	777
241	247	775
242	248	773
243	248	770
244	249	767
245	249	765
246	250	762
247	250	759
248	251	757
249	251	755
250	252	752
251	252	750
252	253	747
253	253	745
254	254	742
255	254	740
256	255	738
257	255	735
258	256	733
259	256	730
260	257	728
261	257	725
262	258	723
263	258	721
264	259	718
265	259	716
266	260	714
267	260	712
268	261	709
269	261	707
270	262	705
271	262	703
272	263	700
273	263	698
274	264	696
275	264	694
276	265	692
277	265	690
278	266	687
279	266	685
280	267	683
281	267	681
282	268	679
283	268	677
284	269	675
285	269	672
286	270	670
287	270	668
288	271	666
289	271	664
290	272	662
291	272	661
292	273	659
293	273	657
294	274	655
295	274	653
296	275	651
297	275	649
298	276	647
299	276	645
300	277	643
301	277	641
302	277	639
303	278	637
304	278	635
305	279	633
